13.11.2022 13:40:54
Scoring: accuracy
Best score: 0.9692071881606766
best params: OrderedDict([('model__C', 0.5779609627413279)])
CV results:
   param_model__C  mean_test_score  std_test_score  rank_test_score
21       0.577961         0.969207        0.025583                1
44       0.577918         0.969207        0.025583                1
43        0.57308         0.969207        0.025583                1
48       0.575955         0.969207        0.025583                1
31       0.561684         0.968742        0.026483                5
32       0.560703         0.968742        0.026483                5
34       0.559889         0.968742        0.026483                5
36        0.56096         0.968742        0.026483                5
20       0.558842         0.968742        0.026483                5
35       0.560258         0.968742        0.026483                5
40       0.564096         0.968742        0.026483                5
41       0.566463         0.968742        0.026483                5
42       0.569461         0.968742        0.026483                5
39       0.562278         0.968742        0.026483                5
37       0.562036         0.968742        0.026483                5
16       0.413414         0.967368        0.024948               16
29       0.920635         0.967368        0.027011               16
7        0.274377         0.966459        0.023651               18
28       0.140871         0.966004        0.024090               19
17       0.199672         0.966004        0.024090               19
13       1.012606         0.965983        0.027078               21
23       1.727576         0.965550        0.026144               22
0        0.086546         0.965095        0.024481               23
27       2.178922         0.964651        0.026476               24
6        0.049277         0.964197        0.024320               25
1        0.062786         0.962812        0.025537               26
49       2.927458         0.961416        0.028165               27
10        4.61267         0.959112        0.030282               28
24       0.023234         0.957748        0.025335               29
19      13.043163         0.951342        0.029646               30
33       0.013787         0.950867        0.026882               31
46      24.475447         0.947230        0.028763               32
11      48.518609         0.945402        0.027142               33
25     173.598172         0.943118        0.028799               34
14     654.157115         0.940825        0.030569               35
22     2621.44194         0.938531        0.031034               36
47    5599.295066         0.938531        0.031034               36
5    12467.168377         0.938076        0.030288               38
3     29831.16255         0.937622        0.030548               39
30   80405.795605         0.936723        0.030366               40
12      1000000.0         0.935359        0.032994               41
18  213221.770779         0.935359        0.032994               41
45  507555.749781         0.935359        0.032994               41
4        0.004475         0.921089        0.037648               44
2        0.004475         0.921089        0.037648               44
38       0.001303         0.907336        0.037342               46
8        0.000417         0.899989        0.036964               47
9        0.000043         0.861057        0.036297               48
26       0.000006         0.847304        0.038226               49
15       0.000001         0.845011        0.036810               50


Scoring: f1
Best score: 0.960510523757203
best params: OrderedDict([('model__C', 0.5804915766283829)])
CV results:
   param_model__C  mean_test_score  std_test_score  rank_test_score
21       0.580492         0.960511        0.031409                1
32       0.543656         0.960507        0.030901                2
34       0.544405         0.960507        0.030901                2
35       0.546144         0.960507        0.030901                2
36       0.548059         0.960507        0.030901                2
47        0.54741         0.960507        0.030901                2
42       0.552925         0.960003        0.032344                7
45       0.550819         0.960003        0.032344                7
44       0.552339         0.960003        0.032344                7
43       0.552965         0.960003        0.032344                7
37       0.550095         0.960003        0.032344                7
38       0.551028         0.960003        0.032344                7
39       0.551671         0.960003        0.032344                7
40       0.552447         0.960003        0.032344                7
41        0.55285         0.960003        0.032344                7
20       0.566873         0.960003        0.032344                7
48       0.541753         0.959902        0.031049               17
16        0.53282         0.959902        0.031049               17
17       0.532951         0.959902        0.031049               17
31       0.541347         0.959902        0.031049               17
27       0.325528         0.958037        0.030794               21
7        0.274377         0.956896        0.029072               22
25       0.987029         0.956691        0.033400               23
30       0.137415         0.956214        0.029784               24
24       0.173543         0.956214        0.029784               24
13       1.224204         0.955987        0.033182               26
0        0.086546         0.954852        0.030595               27
6        0.049277         0.953320        0.031213               28
1        0.062786         0.951698        0.032226               29
19       2.818179         0.950434        0.037102               30
28       4.792503         0.946261        0.038665               31
23       0.022336         0.944534        0.032094               32
10      10.944174         0.937660        0.038974               33
22      42.798862         0.929167        0.036691               34
11     188.139937         0.923110        0.038795               35
33     477.076563         0.922466        0.038280               36
15     1293.47633         0.920190        0.039635               37
26    3779.047156         0.918188        0.041317               38
5    12467.168377         0.917582        0.040323               39
3     29831.16255         0.917172        0.040489               40
46   84307.377976         0.916002        0.040226               41
12      1000000.0         0.913484        0.046663               42
18  217248.835358         0.913484        0.046663               42
4        0.004475         0.900381        0.046147               44
2        0.004475         0.900381        0.046147               44
49       0.001406         0.881047        0.047005               46
8        0.000417         0.857787        0.054120               47
9        0.000043         0.771729        0.072386               48
29       0.000006         0.742598        0.078240               49
14       0.000001         0.738200        0.075302               50


