13.11.2022 13:43:37
Scoring: accuracy
Best score: 0.9683298097251587
best params: OrderedDict([('model__alpha', 2.6490668415769605)])
CV results:
   param_model__alpha  mean_test_score  std_test_score  rank_test_score
36           2.649067         0.968330        0.023330                1
44           2.748856         0.968330        0.023330                1
48            2.71145         0.968330        0.023330                1
17           0.932545         0.967875        0.022926                4
14            1.86586         0.967875        0.022926                4
42                0.0         0.967875        0.022926                4
40                0.0         0.967875        0.022926                4
10                0.0         0.967875        0.022926                4
21                0.0         0.967875        0.022926                4
39                0.0         0.967875        0.022926                4
37                0.0         0.967875        0.022926                4
28                0.0         0.967875        0.022926                4
30                0.0         0.967875        0.022926                4
31                0.0         0.967875        0.022926                4
32                0.0         0.967875        0.022926                4
41                0.0         0.967875        0.022926                4
16           0.930907         0.967875        0.022926                4
35           3.381967         0.967865        0.023389               18
13           4.884734         0.967400        0.023439               19
43          10.387209         0.967389        0.025639               20
20           9.194124         0.967389        0.025639               20
27           6.850974         0.966004        0.025286               22
26          13.070219         0.965560        0.026130               23
9           13.652458         0.965550        0.026940               24
19          17.645942         0.962812        0.027143               25
8           21.834258         0.962791        0.024703               26
23          25.972199         0.959577        0.024167               27
4           30.422952         0.956374        0.025297               28
29          36.375963         0.956374        0.025297               28
45          33.245196         0.956374        0.025297               28
2            30.42329         0.956374        0.025297               28
6           39.105381         0.955455        0.026196               32
1           39.982211         0.954989        0.027238               33
0           41.143727         0.954524        0.027457               34
7           45.319568         0.953594        0.029379               35
24          50.295284         0.951300        0.028352               36
15          54.903473         0.948108        0.029131               37
47          56.712419         0.948108        0.029131               37
34          59.036262         0.948108        0.029131               37
11          63.311339         0.945370        0.028758               40
33          67.761711         0.944006        0.028104               41
38          71.716582         0.941723        0.028100               42
18          72.764349         0.941258        0.027706               43
25          77.890489         0.940338        0.028765               44
49          82.011485         0.938488        0.030741               45
5           84.131399         0.938034        0.029987               46
3           87.288918         0.937114        0.030536               47
46          92.257943         0.936195        0.030697               48
22          94.442578         0.935740        0.030590               49
12          99.987128         0.934820        0.030388               50


Scoring: f1
Best score: 0.959240282718461
best params: OrderedDict([('model__alpha', 2.3403153551229905)])
CV results:
   param_model__alpha  mean_test_score  std_test_score  rank_test_score
17           2.298789         0.959240        0.029230                1
32           3.013341         0.959240        0.029230                1
31           3.002954         0.959240        0.029230                1
30           2.975615         0.959240        0.029230                1
28           2.945148         0.959240        0.029230                1
48           2.664167         0.959240        0.029230                1
21           2.435001         0.959240        0.029230                1
20            2.39447         0.959240        0.029230                1
39           2.933974         0.959240        0.029230                1
36           2.982587         0.959240        0.029230                1
13           2.340315         0.959240        0.029230                1
35           2.993631         0.959240        0.029230                1
44           2.642399         0.959240        0.029230                1
42           2.653104         0.959240        0.029230                1
43           2.648656         0.959240        0.029230                1
41           2.655122         0.959240        0.029230                1
40           4.430079         0.958670        0.029299               17
10                0.0         0.958634        0.028688               18
14           1.974125         0.958634        0.028688               18
16                0.0         0.958634        0.028688               18
27           0.007218         0.958634        0.028688               18
25            0.01449         0.958634        0.028688               18
22           9.417749         0.958288        0.031567               23
12           5.789555         0.958065        0.029417               24
24           8.262476         0.957077        0.031139               25
9           13.652458         0.956067        0.032980               26
26          11.887362         0.955465        0.032560               27
23          16.982501         0.953748        0.033310               28
8           21.834258         0.952238        0.030549               29
37          25.412793         0.948563        0.030526               30
4           30.422952         0.943512        0.032277               31
29          36.375963         0.943512        0.032277               31
2            30.42329         0.943512        0.032277               31
6           39.105381         0.942467        0.033170               34
1           39.982211         0.941962        0.034254               35
0           41.143727         0.941321        0.034562               36
7           45.319568         0.940114        0.037116               37
46          49.714031         0.938902        0.037120               38
19          54.075244         0.933979        0.035716               39
49          58.551338         0.933340        0.036342               40
11          63.124076         0.930347        0.036300               41
33           68.14884         0.927603        0.035359               42
34          68.381268         0.927603        0.035359               42
38          71.716582         0.925416        0.034847               44
18          72.308389         0.924845        0.034347               45
47          78.612787         0.923348        0.036088               46
5           84.131399         0.921227        0.036412               47
3           87.288918         0.920236        0.036861               48
45          93.693253         0.919016        0.037251               49
15          99.994548         0.917458        0.036714               50


