16.11.2022 14:47:05
    class_weight  fit_intercept            C  accuracy    recall
0           None           True     0.001000  0.757169  0.581789
1           None           True     0.001610  0.761077  0.573955
2           None           True     0.002593  0.762254  0.564263
3           None           True     0.004175  0.764989  0.562390
4           None           True     0.006723  0.767725  0.562404
5           None           True     0.010826  0.768899  0.561670
6           None           True     0.017433  0.769680  0.561691
7           None           True     0.028072  0.769812  0.560950
8           None           True     0.045204  0.769944  0.560957
9           None           True     0.072790  0.769946  0.560594
10          None           True     0.117210  0.770466  0.561342
11          None           True     0.188739  0.770596  0.561712
12          None           True     0.303920  0.770336  0.560971
13          None           True     0.489390  0.770206  0.560601
14          None           True     0.788046  0.770076  0.560231
15          None           True     1.268961  0.770206  0.560231
16          None           True     2.043360  0.770206  0.560231
17          None           True     3.290345  0.770206  0.560231
18          None           True     5.298317  0.770206  0.560231
19          None           True     8.531679  0.770206  0.560231
20          None           True    13.738238  0.770206  0.560231
21          None           True    22.122163  0.770206  0.560231
22          None           True    35.622479  0.770206  0.560231
23          None           True    57.361525  0.770206  0.560231
24          None           True    92.367086  0.770206  0.560231
25          None           True   148.735211  0.770206  0.560231
26          None           True   239.502662  0.770206  0.560231
27          None           True   385.662042  0.770206  0.560231
28          None           True   621.016942  0.770206  0.560231
29          None           True  1000.000000  0.770206  0.560231
30          None          False     0.001000  0.734119  0.793725
31          None          False     0.001610  0.733736  0.791139
32          None          False     0.002593  0.731265  0.792257
33          None          False     0.004175  0.732440  0.790056
34          None          False     0.006723  0.734783  0.792313
35          None          False     0.010826  0.735174  0.793068
36          None          False     0.017433  0.735305  0.791195
37          None          False     0.028072  0.735309  0.790832
38          None          False     0.045204  0.735832  0.790461
39          None          False     0.072790  0.736484  0.791943
40          None          False     0.117210  0.736093  0.791195
41          None          False     0.188739  0.735832  0.791195
42          None          False     0.303920  0.736093  0.791572
43          None          False     0.489390  0.736093  0.791572
44          None          False     0.788046  0.736093  0.791202
45          None          False     1.268961  0.736093  0.791202
46          None          False     2.043360  0.736093  0.791202
47          None          False     3.290345  0.736093  0.791202
48          None          False     5.298317  0.736093  0.791202
49          None          False     8.531679  0.736093  0.791202
50          None          False    13.738238  0.736093  0.791202
51          None          False    22.122163  0.736093  0.791202
52          None          False    35.622479  0.736093  0.791202
53          None          False    57.361525  0.736093  0.791202
54          None          False    92.367086  0.736093  0.791202
55          None          False   148.735211  0.736093  0.791202
56          None          False   239.502662  0.736093  0.791202
57          None          False   385.662042  0.736093  0.791202
58          None          False   621.016942  0.736093  0.791202
59          None          False  1000.000000  0.736093  0.791202
60      balanced           True     0.001000  0.741160  0.751915
61      balanced           True     0.001610  0.745853  0.744116
62      balanced           True     0.002593  0.749239  0.737806
63      balanced           True     0.004175  0.750406  0.729965
64      balanced           True     0.006723  0.752226  0.727338
65      balanced           True     0.010826  0.752095  0.722495
66      balanced           True     0.017433  0.752878  0.720629
67      balanced           True     0.028072  0.752618  0.719504
68      balanced           True     0.045204  0.752097  0.717638
69      balanced           True     0.072790  0.752227  0.716520
70      balanced           True     0.117210  0.752227  0.715772
71      balanced           True     0.188739  0.752358  0.715772
72      balanced           True     0.303920  0.752358  0.715772
73      balanced           True     0.489390  0.752358  0.715772
74      balanced           True     0.788046  0.752097  0.715024
75      balanced           True     1.268961  0.752227  0.715024
76      balanced           True     2.043360  0.752227  0.715024
77      balanced           True     3.290345  0.752227  0.715024
78      balanced           True     5.298317  0.752227  0.715024
79      balanced           True     8.531679  0.752227  0.715024
80      balanced           True    13.738238  0.752227  0.715024
81      balanced           True    22.122163  0.752227  0.715024
82      balanced           True    35.622479  0.752227  0.715024
83      balanced           True    57.361525  0.752227  0.715024
84      balanced           True    92.367086  0.752227  0.715024
85      balanced           True   148.735211  0.752227  0.715024
86      balanced           True   239.502662  0.752227  0.715024
87      balanced           True   385.662042  0.752227  0.715024
88      balanced           True   621.016942  0.752227  0.715024
89      balanced           True  1000.000000  0.752227  0.715024
90      balanced          False     0.001000  0.732821  0.794864
91      balanced          False     0.001610  0.732824  0.794109
92      balanced          False     0.002593  0.732564  0.792621
93      balanced          False     0.004175  0.733220  0.794871
94      balanced          False     0.006723  0.733220  0.792648
95      balanced          False     0.010826  0.734650  0.794151
96      balanced          False     0.017433  0.735171  0.793410
97      balanced          False     0.028072  0.735693  0.795646
98      balanced          False     0.045204  0.735561  0.794151
99      balanced          False     0.072790  0.735561  0.794151
100     balanced          False     0.117210  0.734911  0.793040
101     balanced          False     0.188739  0.734781  0.792669
102     balanced          False     0.303920  0.735041  0.792669
103     balanced          False     0.489390  0.735041  0.792669
104     balanced          False     0.788046  0.735041  0.792669
105     balanced          False     1.268961  0.735041  0.792669
106     balanced          False     2.043360  0.734910  0.792669
107     balanced          False     3.290345  0.735040  0.792669
108     balanced          False     5.298317  0.735040  0.792669
109     balanced          False     8.531679  0.735040  0.792669
110     balanced          False    13.738238  0.735040  0.792669
111     balanced          False    22.122163  0.735040  0.792669
112     balanced          False    35.622479  0.735040  0.792669
113     balanced          False    57.361525  0.735040  0.792669
114     balanced          False    92.367086  0.735040  0.792669
115     balanced          False   148.735211  0.735040  0.792669
116     balanced          False   239.502662  0.735040  0.792669
117     balanced          False   385.662042  0.735040  0.792669
118     balanced          False   621.016942  0.735040  0.792669
119     balanced          False  1000.000000  0.735040  0.792669
