13.11.2022 19:30:10
Scoring: accuracy
Best score: 0.7378666666666664
best params: OrderedDict([('model__C', 0.04006160767859047)])
CV results:
   param_model__C  mean_test_score  std_test_score  rank_test_score
24       0.040062         0.737867        0.032040                1
26        0.03978         0.737867        0.032040                1
31       0.039726         0.737867        0.032040                1
32        0.03954         0.737867        0.032040                1
34       0.039462         0.737867        0.032040                1
35       0.039502         0.737867        0.032040                1
36       0.039361         0.737867        0.032040                1
37       0.039183         0.737867        0.032040                1
39       0.040406         0.737600        0.032325                9
21       0.041105         0.737600        0.032325                9
6        0.049277         0.737600        0.033300                9
20       0.041342         0.737600        0.032325                9
44       0.043548         0.737333        0.032823               13
40       0.042934         0.737333        0.032823               13
41       0.037276         0.737333        0.031440               15
43       0.036573         0.737333        0.031440               15
42       0.044378         0.737067        0.033258               17
48       0.043579         0.737067        0.033258               17
1        0.062786         0.736800        0.032393               19
0        0.086546         0.736533        0.031219               20
7        0.274377         0.734933        0.031228               21
16       0.018735         0.734667        0.030811               22
46       0.150102         0.734400        0.030850               23
18      19.666516         0.734133        0.029231               24
47     118.603259         0.734133        0.029231               24
45      36.388508         0.734133        0.029231               24
3     29831.16255         0.734133        0.029231               24
5    12467.168377         0.734133        0.029231               24
10      1000000.0         0.734133        0.029231               24
11      66.651188         0.734133        0.029231               24
19     211.353463         0.734133        0.029231               24
33      10.213377         0.734133        0.029231               24
12     657.675664         0.734133        0.029231               24
14  254964.137696         0.734133        0.029231               24
17    2549.874225         0.734133        0.029231               24
22   93451.491147         0.734133        0.029231               24
25  555312.249938         0.734133        0.029231               24
13       5.286539         0.734133        0.029231               24
49   52843.873504         0.734133        0.029231               24
28    5549.031627         0.734133        0.029231               24
29       2.696049         0.734133        0.029231               24
30    1292.724879         0.734133        0.029231               24
15       1.344376         0.733867        0.029085               43
27        0.60115         0.733600        0.029962               44
38       0.010402         0.729867        0.030059               45
4        0.004475         0.713333        0.030926               46
2        0.004475         0.713333        0.030926               46
8        0.000417         0.521867        0.037358               48
9        0.000043         0.237600        0.032215               49
23       0.000001         0.069867        0.011488               50


Scoring: f1_macro
Best score: 0.7043044733044733
best params: OrderedDict([('model__C', 0.04927717032472188)])
CV results:
   param_model__C  mean_test_score  std_test_score  rank_test_score
6        0.049277         0.704304        0.040912                1
26       0.049292         0.704304        0.040912                1
31       0.048878         0.704193        0.040789                3
48       0.052917         0.704145        0.040799                4
44       0.056775         0.704077        0.040308                5
41       0.056734         0.704077        0.040308                5
39       0.056705         0.704077        0.040308                5
34       0.051249         0.704074        0.040877                8
43       0.056422         0.704065        0.040305                9
37       0.057392         0.704030        0.040278               10
42        0.05722         0.704030        0.040278               10
40        0.05696         0.704030        0.040278               10
36       0.057835         0.704030        0.040278               10
20       0.047737         0.703919        0.041013               14
21       0.047183         0.703919        0.041013               14
32       0.048272         0.703919        0.041013               14
24       0.044183         0.703516        0.040041               17
35       0.046086         0.703260        0.040015               18
0        0.086546         0.703159        0.037972               19
1        0.062786         0.703009        0.039726               20
7        0.274377         0.701519        0.038238               21
19      20.346729         0.700857        0.036210               22
47     121.864948         0.700857        0.036210               22
46       11.34389         0.700857        0.036210               22
3     29831.16255         0.700857        0.036210               22
5    12467.168377         0.700857        0.036210               22
38      37.190289         0.700857        0.036210               22
10      1000000.0         0.700857        0.036210               22
18      217.45164         0.700857        0.036210               22
33    1485.072049         0.700857        0.036210               22
12       6.347603         0.700857        0.036210               22
11       67.82423         0.700857        0.036210               22
30     416.550606         0.700857        0.036210               22
16    2797.974834         0.700857        0.036210               22
22   93200.456385         0.700857        0.036210               22
13      791.69447         0.700857        0.036210               22
25  554543.756094         0.700857        0.036210               22
14   255852.84252         0.700857        0.036210               22
49   52731.360971         0.700857        0.036210               22
28    5863.028658         0.700857        0.036210               22
29        3.08236         0.700857        0.036210               22
45       0.148394         0.700854        0.037729               42
15       1.478371         0.700715        0.036036               43
27       0.638192         0.700230        0.036788               44
17       0.018184         0.699010        0.036845               45
4        0.004475         0.672448        0.038643               46
2        0.004475         0.672448        0.038643               46
8        0.000417         0.475450        0.043081               48
9        0.000043         0.193355        0.028560               49
23       0.000001         0.021499        0.007089               50


