14.11.2022 00:49:23
Scoring: accuracy
Best score: 0.7405333333333334
Best params: OrderedDict([('model__alpha', 52.32389310941083)])
CV results:
   param_model__alpha  mean_test_score  std_test_score  rank_test_score
28          52.323893         0.740533        0.032981                1
37          52.911629         0.740267        0.032795                2
32          52.852126         0.740267        0.032795                2
31          52.804665         0.740267        0.032795                2
39          52.910978         0.740267        0.032795                2
48          51.888423         0.740267        0.032903                2
40           52.90484         0.740267        0.032795                2
21          51.850748         0.740267        0.032903                2
20          51.669846         0.740267        0.032903                2
35          52.906481         0.740267        0.032795                2
41          52.900567         0.740267        0.032795                2
44          52.851818         0.740267        0.032795                2
43          52.888751         0.740267        0.032795                2
42           52.87927         0.740267        0.032795                2
16          48.554634         0.740000        0.033092               15
18          57.354889         0.740000        0.032221               15
13          48.203785         0.740000        0.033307               17
47          56.712419         0.739733        0.032193               18
19          49.102012         0.739733        0.033332               18
7           45.319568         0.739733        0.032632               20
0           41.143727         0.739733        0.032303               20
14          53.713896         0.739467        0.032710               22
6           39.105381         0.739467        0.033302               23
29          36.375963         0.739467        0.033515               23
1           39.982211         0.739200        0.032840               25
2            30.42329         0.738933        0.033556               26
4           30.422952         0.738933        0.033556               26
10          63.226858         0.738400        0.032126               28
22          28.381567         0.738133        0.034333               29
25          64.353766         0.738133        0.031694               29
27          68.717547         0.737333        0.032221               31
33           68.14884         0.737333        0.032221               31
34          68.381268         0.737333        0.032221               31
46          92.257943         0.737333        0.031213               34
45          71.711102         0.737067        0.031217               35
38          71.716582         0.737067        0.031217               35
3           87.288918         0.737067        0.032060               37
49          82.011485         0.736800        0.031219               38
15          72.807513         0.736800        0.031276               38
17          94.010212         0.736800        0.031559               40
5           84.131399         0.736800        0.032448               40
8           21.834258         0.736533        0.033685               42
11          99.999879         0.736267        0.031613               43
36          80.043888         0.736267        0.031557               44
9           13.652458         0.734400        0.032424               45
23          12.455476         0.734133        0.031851               46
26          13.070219         0.733867        0.032764               47
24           4.877831         0.728800        0.033558               48
30            3.07723         0.726933        0.033966               49
12           0.004807         0.725333        0.035176               50


Scoring: f1_macro
Best score: 0.7006068065268064
Best params: OrderedDict([('model__alpha', 52.59868630652392)])
CV results:
   param_model__alpha  mean_test_score  std_test_score  rank_test_score
43          52.598686         0.700607        0.041279                1
44          52.105909         0.700485        0.041383                2
32           50.91132         0.700466        0.041376                3
20          50.665713         0.700466        0.041376                3
35           51.01655         0.700466        0.041376                3
21          50.762157         0.700466        0.041376                3
28           50.78919         0.700466        0.041376                3
31          50.857425         0.700466        0.041376                3
41          43.327972         0.700371        0.040540                9
42          47.116316         0.700343        0.040829               10
2            30.42329         0.700335        0.040653               11
4           30.422952         0.700335        0.040653               11
14          49.394878         0.700197        0.041874               13
19          49.102012         0.700189        0.041878               14
7           45.319568         0.700099        0.040870               15
29          36.375963         0.699785        0.040570               16
10          54.376064         0.699776        0.041012               17
0           41.143727         0.699753        0.039811               18
48           53.10649         0.699726        0.041187               19
39          56.992506         0.699693        0.040683               20
6           39.105381         0.699668        0.040606               21
18          59.342391         0.699518        0.039940               22
16          32.403189         0.699496        0.040871               23
22          28.381567         0.699480        0.041409               24
1           39.982211         0.699361        0.040243               25
38          24.955389         0.698660        0.041626               26
8           21.834258         0.698438        0.040569               27
13          64.845056         0.697727        0.039788               28
25          64.353766         0.697701        0.039793               29
34          68.381268         0.696962        0.040574               30
27          68.717547         0.696962        0.040574               30
33           68.14884         0.696962        0.040574               30
47          81.474558         0.696887        0.039084               33
49          82.011485         0.696540        0.039026               34
15          73.886954         0.696523        0.039176               35
9           13.652458         0.696340        0.038971               36
37          17.959567         0.696317        0.038919               37
46          90.445293         0.696199        0.040183               38
23          12.455476         0.696188        0.038417               39
3           87.288918         0.696162        0.040170               40
5           84.131399         0.696062        0.040610               41
17          93.602168         0.695985        0.039593               42
26          13.070219         0.695914        0.039086               43
36          78.921438         0.695854        0.039395               44
40           8.754452         0.695251        0.038656               45
12          99.987128         0.695128        0.039538               46
45          96.746659         0.694937        0.039428               47
24           4.877831         0.692197        0.039246               48
30            3.07723         0.690258        0.039440               49
11           0.000755         0.688981        0.039979               50


