11.11.2024 09:05:10
Scoring: accuracy
Best score: 0.7541333333333333
Best params: OrderedDict({'model__alpha': 41.14372688271798, 'model__fit_intercept': False})
CV results:
    param_model__alpha  param_model__fit_intercept  mean_test_score  std_test_score  rank_test_score
0            41.143727                       False         0.754133        0.027797                1
22           43.807595                       False         0.754133        0.027797                1
48           44.265971                       False         0.754133        0.027797                1
27           39.373906                       False         0.754133        0.027797                1
28           34.188212                       False         0.754133        0.027797                1
29           32.205223                       False         0.754133        0.027797                1
34           27.742732                       False         0.754133        0.027797                1
33           36.799432                       False         0.754133        0.027797                1
41           28.903931                       False         0.754133        0.027797                1
42           35.467023                       False         0.754133        0.027797                1
4            30.422952                       False         0.754133        0.027797                1
45           38.081674                       False         0.754133        0.027797                1
2            30.423290                       False         0.754133        0.027797                1
47           29.913375                       False         0.754133        0.027797                1
7            45.319568                       False         0.754133        0.027797                1
19           42.340843                       False         0.754133        0.027797                1
20            6.136847                       False         0.753867        0.027708               17
32           92.025869                       False         0.753867        0.027320               17
25           21.376719                       False         0.753867        0.027708               17
21           80.229565                       False         0.753867        0.027320               17
24            7.968376                       False         0.753867        0.027708               17
17            0.000000                       False         0.753867        0.027708               17
12           83.151430                       False         0.753867        0.027320               17
39           94.590235                       False         0.753600        0.027226               24
11          100.000000                       False         0.753600        0.027226               24
30           67.005329                       False         0.753600        0.027421               24
46           55.128704                       False         0.753600        0.027421               24
23           54.399489                       False         0.753600        0.027421               24
40           63.425208                       False         0.753600        0.027421               24
31           73.026579                        True         0.750400        0.025860               30
13           71.447410                        True         0.750133        0.025586               31
5            84.131399                        True         0.750133        0.025586               31
26            0.007646                        True         0.750133        0.026068               33
44            3.066159                        True         0.750133        0.026068               33
9            13.652458                        True         0.750133        0.026068               33
8            21.834258                        True         0.750133        0.026068               33
43           33.431225                        True         0.750133        0.026068               33
36           11.682283                        True         0.750133        0.026068               33
1            39.982211                        True         0.749867        0.025794               39
6            39.105381                        True         0.749867        0.025794               39
3            87.288918                        True         0.749867        0.025931               39
35           86.865390                        True         0.749867        0.025931               39
18           45.233950                        True         0.749867        0.025794               39
10           91.118966                        True         0.749867        0.025931               39
14           46.202806                        True         0.749867        0.025794               39
16           96.259602                        True         0.749867        0.025931               39
38           41.152920                        True         0.749867        0.025794               39
37           61.600205                        True         0.749600        0.025653               48
15           66.531603                        True         0.749600        0.025653               48
49           64.470699                        True         0.749600        0.025653               48


Scoring: f1_macro
Best score: 0.7298327272727272
Best params: OrderedDict({'model__alpha': 41.14372688271798, 'model__fit_intercept': False})
CV results:
    param_model__alpha  param_model__fit_intercept  mean_test_score  std_test_score  rank_test_score
0            41.143727                       False         0.729833        0.031365                1
22           33.434854                       False         0.729833        0.031365                1
48           43.275896                       False         0.729833        0.031365                1
29           38.349948                       False         0.729833        0.031365                1
32           42.462526                       False         0.729833        0.031365                1
33           42.407903                       False         0.729833        0.031365                1
7            45.319568                       False         0.729833        0.031365                1
34           35.103577                       False         0.729833        0.031365                1
42           32.168600                       False         0.729833        0.031365                1
4            30.422952                       False         0.729833        0.031365                1
45           37.536829                       False         0.729833        0.031365                1
2            30.423290                       False         0.729833        0.031365                1
47           29.913375                       False         0.729833        0.031365                1
41           42.995566                       False         0.729833        0.031365                1
19           28.141257                       False         0.729833        0.031365                1
26           11.419686                       False         0.729647        0.031270               16
28           21.063764                       False         0.729646        0.031268               17
20            6.136847                       False         0.729598        0.031264               18
24            7.968376                       False         0.729598        0.031264               18
17            0.000000                       False         0.729598        0.031264               18
21           80.229565                       False         0.729257        0.030743               21
12           83.151430                       False         0.729257        0.030743               21
31           67.162626                       False         0.729048        0.030828               23
46           55.128704                       False         0.729025        0.030984               24
40           63.425208                       False         0.729025        0.030984               24
23           54.399489                       False         0.729025        0.030984               24
39           94.590235                       False         0.729016        0.030616               27
11          100.000000                       False         0.729016        0.030616               27
27           79.115652                        True         0.725210        0.029843               29
36           11.682283                        True         0.725040        0.029741               30
9            13.652458                        True         0.725040        0.029741               30
8            21.834258                        True         0.725008        0.029722               32
30            0.006810                        True         0.724951        0.029745               33
44            3.066159                        True         0.724951        0.029745               33
13           71.447410                        True         0.724882        0.029426               35
43           33.431225                        True         0.724874        0.029672               36
25           83.144191                        True         0.724855        0.029396               37
5            84.131399                        True         0.724855        0.029396               37
18           45.233950                        True         0.724700        0.029458               39
1            39.982211                        True         0.724700        0.029458               39
38           41.152920                        True         0.724700        0.029458               39
14           46.202806                        True         0.724700        0.029458               39
6            39.105381                        True         0.724700        0.029458               39
10           91.118966                        True         0.724501        0.030085               44
35           86.865390                        True         0.724501        0.030085               44
3            87.288918                        True         0.724501        0.030085               44
16           96.259602                        True         0.724501        0.030085               44
15           66.531603                        True         0.724397        0.029433               48
37           61.600205                        True         0.724375        0.029461               49
49           64.470699                        True         0.724375        0.029461               49


