11.11.2024 15:25:19
Scoring: accuracy
Best score: 0.8438638625131613
Best params: OrderedDict({'model__alpha': 91.11896560691564, 'model__fit_intercept': True})
CV results:
    param_model__alpha  param_model__fit_intercept  mean_test_score  std_test_score  rank_test_score
10           91.118966                        True         0.843864        0.002520                1
27           79.115652                        True         0.843835        0.002361                2
16           96.259602                        True         0.843827        0.002500                3
25           83.144191                        True         0.843827        0.002472                4
49           64.470699                        True         0.843819        0.002421                5
6            39.105381                        True         0.843815        0.002473                6
22           59.233646                        True         0.843815        0.002444                7
41           69.947190                        True         0.843811        0.002371                8
11           57.753678                        True         0.843811        0.002435                9
38           41.152920                        True         0.843807        0.002547               10
13           71.447410                        True         0.843802        0.002354               11
42           72.288124                        True         0.843802        0.002376               12
31           73.026579                        True         0.843798        0.002337               13
15           66.531603                        True         0.843798        0.002403               14
35           86.865390                        True         0.843786        0.002414               15
3            87.288918                        True         0.843782        0.002384               16
45           69.526731                        True         0.843778        0.002420               17
37           61.600205                        True         0.843778        0.002395               18
36           11.682283                        True         0.843778        0.002399               19
14           46.202806                        True         0.843766        0.002450               20
5            84.131399                        True         0.843757        0.002389               21
19            0.000000                        True         0.843757        0.002390               22
8            21.834258                        True         0.843753        0.002405               23
17          100.000000                        True         0.843753        0.002413               24
43           33.431225                        True         0.843753        0.002450               25
1            39.982211                        True         0.843737        0.002471               26
18           45.233950                        True         0.843725        0.002417               27
9            13.652458                        True         0.843716        0.002386               28
28            4.952281                        True         0.843716        0.002442               29
44            3.066159                        True         0.843635        0.002457               30
34            2.530521                       False         0.843630        0.002473               31
26           11.419686                       False         0.843585        0.002339               32
48           17.382965                       False         0.843532        0.002289               33
24            7.968376                       False         0.843532        0.002438               34
32           24.511601                       False         0.843512        0.002253               35
20            6.136847                       False         0.843512        0.002376               36
47           29.913375                       False         0.843487        0.002297               37
4            30.422952                       False         0.843467        0.002309               38
0            41.143727                       False         0.843458        0.002274               39
2            30.423290                       False         0.843397        0.002246               40
7            45.319568                       False         0.843340        0.002122               41
33           49.734352                       False         0.843270        0.002136               42
46           55.128704                       False         0.843135        0.002179               43
23           54.399489                       False         0.843123        0.002128               44
29           71.532616                       False         0.843061        0.002113               45
40           63.425208                       False         0.843016        0.002120               46
21           80.229565                       False         0.842902        0.002215               47
12           83.151430                       False         0.842824        0.002234               48
30           96.545598                       False         0.842779        0.002355               49
39           94.590235                       False         0.842766        0.002337               50


Scoring: f1
Best score: 0.6276912712536121
Best params: OrderedDict({'model__alpha': 0.0, 'model__fit_intercept': False})
CV results:
    param_model__alpha  param_model__fit_intercept  mean_test_score  std_test_score  rank_test_score
17            0.000000                       False         0.627691        0.006683                1
11            0.000456                       False         0.627603        0.006896                2
44            3.066159                        True         0.627423        0.006584                3
36           11.682283                        True         0.627385        0.006431                4
28            4.952281                        True         0.627329        0.006550                5
20            6.136847                       False         0.627321        0.006266                6
34            2.530521                       False         0.627316        0.006387                7
9            13.652458                        True         0.627283        0.006377                8
19           19.917890                        True         0.627155        0.006441                9
26           11.419686                       False         0.627068        0.006040               10
8            21.834258                        True         0.627024        0.006268               11
24            7.968376                       False         0.627008        0.006210               12
43           33.431225                        True         0.626911        0.006294               13
6            39.105381                        True         0.626882        0.006474               14
1            39.982211                        True         0.626879        0.006554               15
18           45.233950                        True         0.626753        0.006614               16
48           17.382965                       False         0.626715        0.006043               17
47           29.913375                       False         0.626626        0.005920               18
14           46.202806                        True         0.626607        0.006453               19
38           41.152920                        True         0.626589        0.006534               20
32           24.511601                       False         0.626537        0.005920               21
4            30.422952                       False         0.626485        0.005794               22
37           61.600205                        True         0.626370        0.006348               23
2            30.423290                       False         0.626361        0.005777               24
22           59.233646                        True         0.626253        0.006271               25
42           72.288124                        True         0.626252        0.006572               26
49           64.470699                        True         0.626211        0.006318               27
45           69.526731                        True         0.626170        0.006582               28
13           71.447410                        True         0.626163        0.006469               29
15           66.531603                        True         0.626157        0.006327               30
31           73.026579                        True         0.626072        0.006350               31
0            41.143727                       False         0.626049        0.005905               32
27           79.115652                        True         0.626001        0.006638               33
5            84.131399                        True         0.625948        0.006596               34
35           86.865390                        True         0.625923        0.006486               35
41           69.947190                        True         0.625911        0.006417               36
7            45.319568                       False         0.625845        0.005877               37
25           83.144191                        True         0.625829        0.006400               38
3            87.288918                        True         0.625805        0.006641               39
16           96.259602                        True         0.625721        0.006754               40
33           49.734352                       False         0.625652        0.005915               41
46           55.128704                       False         0.625396        0.005668               42
23           54.399489                       False         0.625257        0.005733               43
40           63.425208                       False         0.624633        0.005852               44
29           71.532616                       False         0.624401        0.005791               45
12           83.151430                       False         0.623905        0.006059               46
21           80.229565                       False         0.623736        0.005941               47
30           96.545598                       False         0.623305        0.006468               48
39           94.590235                       False         0.623264        0.006355               49
10           99.993929                       False         0.623010        0.006556               50


