11.11.2024 15:58:46
Scoring: accuracy
Best score: 0.9633509513742071
best params: OrderedDict({'model__alpha': 0.0, 'model__fit_intercept': True})
CV results:
    param_model__alpha  param_model__fit_intercept  mean_test_score  std_test_score  rank_test_score
32            0.009032                        True         0.963351        0.025443                1
14            0.000000                        True         0.963351        0.025443                1
10            0.005512                       False         0.962886        0.024997                3
11            0.000000                       False         0.962886        0.024997                3
18            4.530296                        True         0.958763        0.026629                5
25            3.291705                       False         0.956459        0.026357                6
33            8.310301                        True         0.955106        0.028842                7
8            21.834258                        True         0.953319        0.029152                8
36           11.682283                        True         0.952368        0.029499                9
44           25.479780                        True         0.951956        0.028884               10
42           18.252865                        True         0.951934        0.029622               11
23           29.219093                        True         0.951025        0.028442               12
9            13.652458                        True         0.951004        0.029890               13
26           25.348021                       False         0.950581        0.030666               14
21           20.622018                       False         0.950571        0.028217               15
40           33.495887                        True         0.950560        0.028588               16
48           17.382965                       False         0.949651        0.028446               17
6            39.105381                        True         0.949197        0.028905               18
1            39.982211                        True         0.948732        0.029390               19
2            30.423290                       False         0.948309        0.030793               20
47           29.913375                       False         0.948309        0.030793               20
4            30.422952                       False         0.948309        0.030793               20
38           41.152920                        True         0.948266        0.030219               23
35           15.580511                       False         0.948266        0.027241               23
13            9.883348                       False         0.947791        0.027728               25
28           46.807228                        True         0.946448        0.031470               26
39           35.429094                       False         0.946015        0.031143               27
20           52.221730                        True         0.945063        0.033230               28
0            41.143727                       False         0.943256        0.030983               29
7            45.319568                       False         0.940951        0.031948               30
41           51.240684                       False         0.938192        0.031647               31
37           61.600205                        True         0.937727        0.034492               32
15           62.682772                        True         0.937273        0.034716               33
49           64.470699                        True         0.936818        0.034635               34
45           68.023430                        True         0.935888        0.033533               35
46           55.128704                       False         0.934059        0.033397               36
31           73.026579                        True         0.934049        0.032788               37
19           57.687605                       False         0.933140        0.033797               38
24           73.256752                        True         0.932674        0.034295               39
34           64.309109                       False         0.930846        0.033976               40
5            84.131399                        True         0.928076        0.035152               41
29           71.532616                       False         0.927167        0.034932               42
16           71.230719                       False         0.927167        0.034932               42
3            87.288918                        True         0.927146        0.035083               44
43           93.924068                        True         0.924387        0.037007               45
17           99.985669                        True         0.923932        0.037053               46
22           84.604776                       False         0.922093        0.036304               47
30           96.545598                       False         0.920243        0.037829               48
27           93.327099                       False         0.920243        0.037829               48
12           99.958146                       False         0.920243        0.037829               48


Scoring: f1
Best score: 0.9568376846890778
best params: OrderedDict({'model__alpha': 0.0, 'model__fit_intercept': True})
CV results:
    param_model__alpha  param_model__fit_intercept  mean_test_score  std_test_score  rank_test_score
14            0.000000                        True         0.956838        0.029714                1
11            0.000000                       False         0.956208        0.029169                2
10            0.005512                       False         0.956208        0.029169                2
18            4.449763                        True         0.951419        0.030830                4
25            3.136220                       False         0.949128        0.030745                5
33            7.395336                        True         0.947682        0.032933                6
30            8.710014                        True         0.946688        0.033801                7
8            21.834258                        True         0.944915        0.033938                8
9            13.652458                        True         0.942619        0.034308                9
23           29.231318                        True         0.942127        0.032690               10
21           20.529029                       False         0.941561        0.032418               11
36           33.591552                        True         0.941558        0.032841               12
26           25.268973                       False         0.941441        0.035488               13
6            39.105381                        True         0.940087        0.032720               14
1            39.982211                        True         0.939604        0.033204               15
4            30.422952                       False         0.938880        0.035139               16
2            30.423290                       False         0.938880        0.035139               16
13            9.526511                       False         0.938494        0.031766               18
34           15.175241                       False         0.938463        0.031243               19
49           10.507469                       False         0.937437        0.030939               20
28           47.014225                        True         0.937097        0.035258               21
35           35.493545                       False         0.936297        0.035570               22
19           52.578504                        True         0.935661        0.036895               23
0            41.143727                       False         0.933143        0.035319               24
7            45.319568                       False         0.930494        0.036653               25
38           45.594476                       False         0.930494        0.036653               25
31           51.713193                       False         0.927276        0.035941               27
15           62.557830                        True         0.926701        0.038670               28
24           73.082729                        True         0.923058        0.036334               29
41           72.923791                        True         0.923058        0.036334               29
20           58.087280                       False         0.921485        0.038389               31
43           59.935741                       False         0.921001        0.038570               32
44           62.375127                       False         0.919471        0.038431               33
29           77.139288                        True         0.919166        0.037993               34
45           64.260636                       False         0.918870        0.038669               35
32           68.494389                       False         0.916523        0.041162               36
5            84.131399                        True         0.915969        0.039458               37
3            87.288918                        True         0.914645        0.039699               38
16           71.127326                       False         0.914285        0.040273               39
37           89.662717                        True         0.913605        0.040170               40
39           89.927509                        True         0.913004        0.040310               41
42           74.288549                       False         0.911874        0.039723               42
47           77.641096                       False         0.910829        0.039672               43
17           99.995433                        True         0.910754        0.042607               44
22           84.533360                       False         0.908181        0.042434               45
40           82.623249                       False         0.908181        0.042434               45
46           85.574753                       False         0.908181        0.042434               45
48           82.435988                       False         0.908181        0.042434               45
12           99.958146                       False         0.905842        0.044299               49
27           93.355600                       False         0.905842        0.044299               49


