12.11.2024 15:17:18
    class_weight  fit_intercept            C  accuracy    recall
0           None           True     0.001000  0.687386  0.336639
1           None           True     0.001610  0.690905  0.346723
2           None           True     0.002593  0.696887  0.361621
3           None           True     0.004175  0.703401  0.375101
4           None           True     0.006723  0.710957  0.391565
5           None           True     0.010826  0.726320  0.419930
6           None           True     0.017433  0.739476  0.453131
7           None           True     0.028072  0.747815  0.475912
8           None           True     0.045204  0.755633  0.492732
9           None           True     0.072790  0.761105  0.515535
10          None           True     0.117210  0.765659  0.534563
11          None           True     0.188739  0.768258  0.545702
12          None           True     0.303920  0.769426  0.552760
13          None           True     0.489390  0.771116  0.557973
14          None           True     0.788046  0.770856  0.557596
15          None           True     1.268961  0.771248  0.558728
16          None           True     2.043360  0.770726  0.559476
17          None           True     3.290345  0.770465  0.559476
18          None           True     5.298317  0.770205  0.559106
19          None           True     8.531679  0.770076  0.559860
20          None           True    13.738238  0.770207  0.559860
21          None           True    22.122163  0.770076  0.559860
22          None           True    35.622479  0.770076  0.559860
23          None           True    57.361525  0.770336  0.560231
24          None           True    92.367086  0.770076  0.559860
25          None           True   148.735211  0.769947  0.559490
26          None           True   239.502662  0.769817  0.559490
27          None           True   385.662042  0.770207  0.560231
28          None           True   621.016942  0.770076  0.559490
29          None           True  1000.000000  0.770466  0.559853
30          None          False     0.001000  0.680879  0.324717
31          None          False     0.001610  0.680878  0.331440
32          None          False     0.002593  0.681136  0.335150
33          None          False     0.004175  0.682045  0.337379
34          None          False     0.006723  0.682697  0.340377
35          None          False     0.010826  0.682830  0.340007
36          None          False     0.017433  0.683351  0.343368
37          None          False     0.028072  0.682704  0.343375
38          None          False     0.045204  0.683746  0.344493
39          None          False     0.072790  0.684135  0.345968
40          None          False     0.117210  0.684525  0.346338
41          None          False     0.188739  0.684264  0.346702
42          None          False     0.303920  0.684004  0.345961
43          None          False     0.489390  0.683743  0.345584
44          None          False     0.788046  0.683743  0.346324
45          None          False     1.268961  0.683743  0.346324
46          None          False     2.043360  0.683743  0.346324
47          None          False     3.290345  0.683613  0.346324
48          None          False     5.298317  0.683613  0.346324
49          None          False     8.531679  0.683613  0.346324
50          None          False    13.738238  0.683613  0.346324
51          None          False    22.122163  0.683613  0.346324
52          None          False    35.622479  0.683613  0.346324
53          None          False    57.361525  0.683613  0.346324
54          None          False    92.367086  0.683613  0.346324
55          None          False   148.735211  0.683613  0.346324
56          None          False   239.502662  0.683613  0.346324
57          None          False   385.662042  0.683743  0.346324
58          None          False   621.016942  0.683613  0.346324
59          None          False  1000.000000  0.683613  0.346324
60      balanced           True     0.001000  0.651860  0.700901
61      balanced           True     0.001610  0.657201  0.702404
62      balanced           True     0.002593  0.666833  0.707631
63      balanced           True     0.004175  0.678422  0.713620
64      balanced           True     0.006723  0.689747  0.722166
65      balanced           True     0.010826  0.705634  0.727785
66      balanced           True     0.017433  0.726718  0.731495
67      balanced           True     0.028072  0.737136  0.730342
68      balanced           True     0.045204  0.746766  0.733697
69      balanced           True     0.072790  0.749110  0.726247
70      balanced           True     0.117210  0.751711  0.724347
71      balanced           True     0.188739  0.755100  0.724011
72      balanced           True     0.303920  0.754837  0.721761
73      balanced           True     0.489390  0.753664  0.718022
74      balanced           True     0.788046  0.753140  0.716883
75      balanced           True     1.268961  0.753270  0.718001
76      balanced           True     2.043360  0.752620  0.716143
77      balanced           True     3.290345  0.752619  0.715395
78      balanced           True     5.298317  0.752357  0.715765
79      balanced           True     8.531679  0.752748  0.715402
80      balanced           True    13.738238  0.752487  0.715024
81      balanced           True    22.122163  0.752098  0.715024
82      balanced           True    35.622479  0.752228  0.715024
83      balanced           True    57.361525  0.752227  0.715024
84      balanced           True    92.367086  0.752487  0.715395
85      balanced           True   148.735211  0.752097  0.714654
86      balanced           True   239.502662  0.752097  0.715024
87      balanced           True   385.662042  0.752227  0.715024
88      balanced           True   621.016942  0.752488  0.715402
89      balanced           True  1000.000000  0.752227  0.715024
90      balanced          False     0.001000  0.640660  0.699036
91      balanced          False     0.001610  0.640921  0.700531
92      balanced          False     0.002593  0.640917  0.701635
93      balanced          False     0.004175  0.642605  0.704983
94      balanced          False     0.006723  0.642997  0.706471
95      balanced          False     0.010826  0.643523  0.707219
96      balanced          False     0.017433  0.643778  0.705709
97      balanced          False     0.028072  0.644556  0.706080
98      balanced          False     0.045204  0.645988  0.707205
99      balanced          False     0.072790  0.646899  0.706827
100     balanced          False     0.117210  0.646640  0.706087
101     balanced          False     0.188739  0.646641  0.705723
102     balanced          False     0.303920  0.646902  0.706848
103     balanced          False     0.489390  0.646901  0.706471
104     balanced          False     0.788046  0.646640  0.706094
105     balanced          False     1.268961  0.646640  0.706094
106     balanced          False     2.043360  0.646640  0.706094
107     balanced          False     3.290345  0.646640  0.706094
108     balanced          False     5.298317  0.646509  0.705716
109     balanced          False     8.531679  0.646640  0.706094
110     balanced          False    13.738238  0.646509  0.705716
111     balanced          False    22.122163  0.646640  0.706094
112     balanced          False    35.622479  0.646640  0.706094
113     balanced          False    57.361525  0.646640  0.706094
114     balanced          False    92.367086  0.646640  0.706094
115     balanced          False   148.735211  0.646640  0.706094
116     balanced          False   239.502662  0.646640  0.706094
117     balanced          False   385.662042  0.646509  0.705716
118     balanced          False   621.016942  0.646640  0.706094
119     balanced          False  1000.000000  0.646509  0.705716
