13.11.2024 11:41:17
    class_weight  fit_intercept       alpha  accuracy    recall
0           None           True    0.000000  0.770601  0.555765
1           None           True    2.040816  0.770472  0.555024
2           None           True    4.081633  0.770472  0.554654
3           None           True    6.122449  0.770602  0.554647
4           None           True    8.163265  0.770471  0.553899
5           None           True   10.204082  0.770601  0.553522
6           None           True   12.244898  0.770600  0.553145
7           None           True   14.285714  0.770469  0.552390
8           None           True   16.326531  0.770340  0.551642
9           None           True   18.367347  0.770469  0.550894
10          None           True   20.408163  0.770208  0.550147
11          None           True   22.448980  0.770208  0.550147
12          None           True   24.489796  0.770338  0.550147
13          None           True   26.530612  0.770208  0.549776
14          None           True   28.571429  0.770339  0.548281
15          None           True   30.612245  0.769948  0.547163
16          None           True   32.653061  0.770210  0.546792
17          None           True   34.693878  0.770078  0.546038
18          None           True   36.734694  0.770207  0.545660
19          None           True   38.775510  0.770076  0.544913
20          None           True   40.816327  0.769817  0.544172
21          None           True   42.857143  0.769425  0.543047
22          None           True   44.897959  0.769817  0.543047
23          None           True   46.938776  0.769687  0.542299
24          None           True   48.979592  0.769295  0.540797
25          None           True   51.020408  0.769295  0.540797
26          None           True   53.061224  0.769165  0.540426
27          None           True   55.102041  0.769033  0.539672
28          None           True   57.142857  0.768772  0.539294
29          None           True   59.183673  0.768771  0.539287
30          None           True   61.224490  0.768771  0.538917
31          None           True   63.265306  0.769031  0.538917
32          None           True   65.306122  0.768770  0.538169
33          None           True   67.346939  0.768901  0.537799
34          None           True   69.387755  0.768771  0.537428
35          None           True   71.428571  0.768772  0.537058
36          None           True   73.469388  0.768902  0.536303
37          None           True   75.510204  0.768772  0.535933
38          None           True   77.551020  0.768380  0.534437
39          None           True   79.591837  0.768119  0.533683
40          None           True   81.632653  0.768120  0.533312
41          None           True   83.673469  0.767859  0.532942
42          None           True   85.714286  0.767600  0.532201
43          None           True   87.755102  0.767470  0.531461
44          None           True   89.795918  0.767729  0.531461
45          None           True   91.836735  0.767860  0.531090
46          None           True   93.877551  0.767731  0.530349
47          None           True   95.918367  0.767471  0.529602
48          None           True   97.959184  0.767471  0.529602
49          None           True  100.000000  0.767600  0.529602
50          None          False    0.000000  0.737654  0.793054
51          None          False    2.040816  0.737392  0.793047
52          None          False    4.081633  0.737393  0.793424
53          None          False    6.122449  0.737523  0.793795
54          None          False    8.163265  0.737522  0.793788
55          None          False   10.204082  0.737913  0.794165
56          None          False   12.244898  0.737782  0.793795
57          None          False   14.285714  0.737651  0.793795
58          None          False   16.326531  0.737783  0.794920
59          None          False   18.367347  0.737261  0.794172
60          None          False   20.408163  0.737521  0.794172
61          None          False   22.448980  0.737781  0.794172
62          None          False   24.489796  0.737782  0.794179
63          None          False   26.530612  0.737262  0.793809
64          None          False   28.571429  0.737001  0.794549
65          None          False   30.612245  0.737001  0.794549
66          None          False   32.653061  0.737263  0.794934
67          None          False   34.693878  0.737133  0.794941
68          None          False   36.734694  0.737392  0.794941
69          None          False   38.775510  0.737392  0.794941
70          None          False   40.816327  0.737392  0.795311
71          None          False   42.857143  0.737521  0.795311
72          None          False   44.897959  0.737130  0.794934
73          None          False   46.938776  0.737000  0.794934
74          None          False   48.979592  0.737001  0.794934
75          None          False   51.020408  0.736870  0.794927
76          None          False   53.061224  0.736999  0.794927
77          None          False   55.102041  0.736870  0.795297
78          None          False   57.142857  0.736740  0.794927
79          None          False   59.183673  0.736348  0.794549
80          None          False   61.224490  0.736218  0.794549
81          None          False   63.265306  0.735957  0.794549
82          None          False   65.306122  0.735697  0.794549
83          None          False   67.346939  0.735696  0.794172
84          None          False   69.387755  0.735436  0.793795
85          None          False   71.428571  0.735567  0.793795
86          None          False   73.469388  0.735827  0.793424
87          None          False   75.510204  0.735436  0.793047
88          None          False   77.551020  0.735435  0.793047
89          None          False   79.591837  0.735565  0.793417
90          None          False   81.632653  0.735305  0.793047
91          None          False   83.673469  0.735045  0.792299
92          None          False   85.714286  0.735174  0.792292
93          None          False   87.755102  0.735174  0.792292
94          None          False   89.795918  0.734914  0.792292
95          None          False   91.836735  0.734394  0.791174
96          None          False   93.877551  0.734914  0.791551
97          None          False   95.918367  0.734784  0.791551
98          None          False   97.959184  0.734523  0.791551
99          None          False  100.000000  0.734652  0.791174
100     balanced           True    0.000000  0.752749  0.712788
101     balanced           True    2.040816  0.752489  0.712411
102     balanced           True    4.081633  0.752619  0.712781
103     balanced           True    6.122449  0.752359  0.713152
104     balanced           True    8.163265  0.752489  0.713152
105     balanced           True   10.204082  0.752098  0.712781
106     balanced           True   12.244898  0.752489  0.713529
107     balanced           True   14.285714  0.751968  0.713152
108     balanced           True   16.326531  0.751968  0.713152
109     balanced           True   18.367347  0.751968  0.713152
110     balanced           True   20.408163  0.751968  0.712781
111     balanced           True   22.448980  0.751967  0.712404
112     balanced           True   24.489796  0.752097  0.713145
113     balanced           True   26.530612  0.752226  0.713515
114     balanced           True   28.571429  0.752488  0.714263
115     balanced           True   30.612245  0.752488  0.714263
116     balanced           True   32.653061  0.752359  0.714270
117     balanced           True   34.693878  0.752619  0.714270
118     balanced           True   36.734694  0.752359  0.713522
119     balanced           True   38.775510  0.752097  0.713515
120     balanced           True   40.816327  0.752359  0.714270
121     balanced           True   42.857143  0.752099  0.713899
122     balanced           True   44.897959  0.752360  0.714270
123     balanced           True   46.938776  0.752360  0.713899
124     balanced           True   48.979592  0.752227  0.714263
125     balanced           True   51.020408  0.752359  0.714640
126     balanced           True   53.061224  0.752359  0.714640
127     balanced           True   55.102041  0.752229  0.715010
128     balanced           True   57.142857  0.752099  0.714640
129     balanced           True   59.183673  0.752100  0.714647
130     balanced           True   61.224490  0.751710  0.713529
131     balanced           True   63.265306  0.751580  0.713529
132     balanced           True   65.306122  0.751970  0.713899
133     balanced           True   67.346939  0.752100  0.714270
134     balanced           True   69.387755  0.752360  0.714640
135     balanced           True   71.428571  0.752229  0.714640
136     balanced           True   73.469388  0.752229  0.714640
137     balanced           True   75.510204  0.752230  0.715017
138     balanced           True   77.551020  0.752099  0.715017
139     balanced           True   79.591837  0.752229  0.715017
140     balanced           True   81.632653  0.752099  0.714640
141     balanced           True   83.673469  0.752099  0.715017
142     balanced           True   85.714286  0.752099  0.715388
143     balanced           True   87.755102  0.751838  0.714633
144     balanced           True   89.795918  0.751839  0.715010
145     balanced           True   91.836735  0.751709  0.714640
146     balanced           True   93.877551  0.751709  0.714640
147     balanced           True   95.918367  0.751710  0.715395
148     balanced           True   97.959184  0.751972  0.716150
149     balanced           True  100.000000  0.751842  0.716150
150     balanced          False    0.000000  0.737382  0.796744
151     balanced          False    2.040816  0.737252  0.796744
152     balanced          False    4.081633  0.736860  0.796366
153     balanced          False    6.122449  0.736861  0.796744
154     balanced          False    8.163265  0.737122  0.796744
155     balanced          False   10.204082  0.737122  0.796373
156     balanced          False   12.244898  0.737252  0.796373
157     balanced          False   14.285714  0.736471  0.795618
158     balanced          False   16.326531  0.736732  0.795996
159     balanced          False   18.367347  0.736732  0.795996
160     balanced          False   20.408163  0.736211  0.795996
161     balanced          False   22.448980  0.735560  0.794878
162     balanced          False   24.489796  0.735561  0.794885
163     balanced          False   26.530612  0.735432  0.794885
164     balanced          False   28.571429  0.735172  0.794885
165     balanced          False   30.612245  0.735172  0.794885
166     balanced          False   32.653061  0.735302  0.795255
167     balanced          False   34.693878  0.735302  0.795255
168     balanced          False   36.734694  0.735303  0.795255
169     balanced          False   38.775510  0.735432  0.795632
170     balanced          False   40.816327  0.735303  0.795632
171     balanced          False   42.857143  0.735173  0.795255
172     balanced          False   44.897959  0.734783  0.795255
173     balanced          False   46.938776  0.734652  0.794885
174     balanced          False   48.979592  0.734913  0.795262
175     balanced          False   51.020408  0.734912  0.795632
176     balanced          False   53.061224  0.734781  0.795262
177     balanced          False   55.102041  0.734652  0.794892
178     balanced          False   57.142857  0.735173  0.795262
179     balanced          False   59.183673  0.735173  0.795262
180     balanced          False   61.224490  0.735172  0.795632
181     balanced          False   63.265306  0.735173  0.795632
182     balanced          False   65.306122  0.734913  0.795632
183     balanced          False   67.346939  0.734782  0.795248
184     balanced          False   69.387755  0.734652  0.795248
185     balanced          False   71.428571  0.734652  0.795248
186     balanced          False   73.469388  0.734522  0.794871
187     balanced          False   75.510204  0.734390  0.794871
188     balanced          False   77.551020  0.734650  0.795241
189     balanced          False   79.591837  0.734781  0.795241
190     balanced          False   81.632653  0.734912  0.795241
191     balanced          False   83.673469  0.734912  0.795241
192     balanced          False   85.714286  0.734912  0.795989
193     balanced          False   87.755102  0.734912  0.795989
194     balanced          False   89.795918  0.734913  0.795989
195     balanced          False   91.836735  0.734913  0.795989
196     balanced          False   93.877551  0.734653  0.795618
197     balanced          False   95.918367  0.734653  0.795618
198     balanced          False   97.959184  0.734653  0.795618
199     balanced          False  100.000000  0.734653  0.795248
