08.12.2024 10:34:42
Scoring: RSE
Best score: -0.10016259053540583
best params: OrderedDict([('model__boot_type', True), ('model__max_depth', 80), ('model__max_features', None), ('model__min_samples_split', 2), ('model__nb_samples', 0.9), ('model__nb_trees', 50)])
CV results:
                                                                                                                                                                    params  mean_test_score  std_test_score  rank_test_score
23         {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 50}        -0.100163        0.014020                1
15         {'model__boot_type': True, 'model__max_depth': 40, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.101441        0.013344                2
16         {'model__boot_type': True, 'model__max_depth': -1, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.101441        0.013344                2
20         {'model__boot_type': True, 'model__max_depth': 60, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.101441        0.013344                2
18        {'model__boot_type': True, 'model__max_depth': 100, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.101441        0.013344                2
21         {'model__boot_type': True, 'model__max_depth': 70, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.101441        0.013344                2
11         {'model__boot_type': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.101441        0.013344                7
14       {'model__boot_type': True, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 70}        -0.104777        0.016764                8
22         {'model__boot_type': True, 'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.105578        0.013825                9
17         {'model__boot_type': True, 'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 10}        -0.110347        0.017053               10
12        {'model__boot_type': False, 'model__max_depth': 50, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.115239        0.018876               11
13        {'model__boot_type': False, 'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.115239        0.018876               11
6    {'model__boot_type': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 3, 'model__nb_samples': 'Full', 'model__nb_trees': 200}        -0.117386        0.016352               13
8         {'model__boot_type': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 16, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.118449        0.015662               14
0        {'model__boot_type': True, 'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_split': 17, 'model__nb_samples': 0.8, 'model__nb_trees': 300}        -0.120401        0.015605               15
7       {'model__boot_type': True, 'model__max_depth': 90, 'model__max_features': 'log2', 'model__min_samples_split': 9, 'model__nb_samples': 0.7, 'model__nb_trees': 150}        -0.123711        0.014258               16
9        {'model__boot_type': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 20, 'model__nb_samples': 0.8, 'model__nb_trees': 300}        -0.125394        0.015756               17
10  {'model__boot_type': False, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 13, 'model__nb_samples': 'Full', 'model__nb_trees': 70}        -0.126390        0.015870               18
19         {'model__boot_type': True, 'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.4, 'model__nb_trees': 20}        -0.130131        0.015231               19
1       {'model__boot_type': True, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 20, 'model__nb_samples': 0.7, 'model__nb_trees': 70}        -0.151253        0.015086               20
5     {'model__boot_type': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__nb_samples': 0.3, 'model__nb_trees': 200}        -0.172599        0.014487               21
2         {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 17, 'model__nb_samples': 0.2, 'model__nb_trees': 80}        -0.199613        0.016666               22
3        {'model__boot_type': False, 'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_split': 19, 'model__nb_samples': 0.2, 'model__nb_trees': 30}        -0.215760        0.016298               23
4       {'model__boot_type': True, 'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_split': 14, 'model__nb_samples': 0.3, 'model__nb_trees': 90}        -0.224456        0.020942               24
24      {'model__boot_type': False, 'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_split': 18, 'model__nb_samples': 0.1, 'model__nb_trees': 150}        -0.273239        0.014238               25


