08.12.2024 11:42:49
Scoring: RSE
Best score: -0.0926801555831973
best params: OrderedDict([('model__boot_type', False), ('model__max_depth', 40), ('model__max_features', 'log2'), ('model__min_samples_split', 2), ('model__nb_samples', 'Full'), ('model__nb_trees', 40)])
CV results:
                                                                                                                                                                    params  mean_test_score  std_test_score  rank_test_score
49   {'model__boot_type': False, 'model__max_depth': 40, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 'Full', 'model__nb_trees': 40}        -0.092680        0.015272                1
43      {'model__boot_type': False, 'model__max_depth': -1, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 0.8, 'model__nb_trees': 40}        -0.096079        0.013898                2
47      {'model__boot_type': False, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 0.8, 'model__nb_trees': 40}        -0.096079        0.013898                2
48      {'model__boot_type': False, 'model__max_depth': 90, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 0.8, 'model__nb_trees': 40}        -0.096079        0.013898                2
45      {'model__boot_type': False, 'model__max_depth': -1, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 0.8, 'model__nb_trees': 30}        -0.097502        0.012983                5
26        {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 200}        -0.099014        0.013570                6
35         {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 60}        -0.099356        0.013338                7
28        {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 4, 'model__nb_samples': 0.9, 'model__nb_trees': 100}        -0.099650        0.013318                8
38    {'model__boot_type': True, 'model__max_depth': 40, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 'Full', 'model__nb_trees': 40}        -0.100000        0.013085                9
37   {'model__boot_type': True, 'model__max_depth': 100, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 'Full', 'model__nb_trees': 40}        -0.100000        0.013085                9
36    {'model__boot_type': True, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 'Full', 'model__nb_trees': 40}        -0.100000        0.013085                9
23         {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 50}        -0.100163        0.014020               12
30         {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 4, 'model__nb_samples': 0.9, 'model__nb_trees': 60}        -0.100169        0.013595               13
41      {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 'Full', 'model__nb_trees': 40}        -0.100744        0.015965               14
31         {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 4, 'model__nb_samples': 0.9, 'model__nb_trees': 40}        -0.101326        0.014211               15
15         {'model__boot_type': True, 'model__max_depth': 40, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.101441        0.013344               16
18        {'model__boot_type': True, 'model__max_depth': 100, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.101441        0.013344               16
21         {'model__boot_type': True, 'model__max_depth': 70, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.101441        0.013344               16
16         {'model__boot_type': True, 'model__max_depth': -1, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.101441        0.013344               16
20         {'model__boot_type': True, 'model__max_depth': 60, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.101441        0.013344               16
11         {'model__boot_type': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.101441        0.013344               21
27        {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 6, 'model__nb_samples': 0.9, 'model__nb_trees': 200}        -0.101527        0.013813               22
46      {'model__boot_type': False, 'model__max_depth': -1, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 0.8, 'model__nb_trees': 20}        -0.101614        0.019707               23
29      {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 100}        -0.103086        0.014895               24
14       {'model__boot_type': True, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 70}        -0.104777        0.016764               25
22         {'model__boot_type': True, 'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.105578        0.013825               26
44        {'model__boot_type': False, 'model__max_depth': 50, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.8, 'model__nb_trees': 90}        -0.107428        0.016147               27
17         {'model__boot_type': True, 'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 10}        -0.110347        0.017053               28
39    {'model__boot_type': True, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 'Full', 'model__nb_trees': 20}        -0.110670        0.016673               29
33       {'model__boot_type': False, 'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.8, 'model__nb_trees': 300}        -0.110689        0.017265               30
25     {'model__boot_type': False, 'model__max_depth': -1, 'model__max_features': 'sqrt', 'model__min_samples_split': 4, 'model__nb_samples': 0.8, 'model__nb_trees': 150}        -0.111171        0.016649               31
40    {'model__boot_type': True, 'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 'Full', 'model__nb_trees': 40}        -0.112352        0.015585               32
13        {'model__boot_type': False, 'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.115239        0.018876               33
12        {'model__boot_type': False, 'model__max_depth': 50, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.115239        0.018876               33
6    {'model__boot_type': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 3, 'model__nb_samples': 'Full', 'model__nb_trees': 200}        -0.117386        0.016352               35
8         {'model__boot_type': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 16, 'model__nb_samples': 0.9, 'model__nb_trees': 30}        -0.118449        0.015662               36
34       {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__nb_samples': 0.9, 'model__nb_trees': 70}        -0.120278        0.017899               37
0        {'model__boot_type': True, 'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_split': 17, 'model__nb_samples': 0.8, 'model__nb_trees': 300}        -0.120401        0.015605               38
7       {'model__boot_type': True, 'model__max_depth': 90, 'model__max_features': 'log2', 'model__min_samples_split': 9, 'model__nb_samples': 0.7, 'model__nb_trees': 150}        -0.123711        0.014258               39
9        {'model__boot_type': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 20, 'model__nb_samples': 0.8, 'model__nb_trees': 300}        -0.125394        0.015756               40
10  {'model__boot_type': False, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 13, 'model__nb_samples': 'Full', 'model__nb_trees': 70}        -0.126390        0.015870               41
19         {'model__boot_type': True, 'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.4, 'model__nb_trees': 20}        -0.130131        0.015231               42
32      {'model__boot_type': True, 'model__max_depth': -1, 'model__max_features': 'log2', 'model__min_samples_split': 13, 'model__nb_samples': 0.8, 'model__nb_trees': 40}        -0.133352        0.016193               43
1       {'model__boot_type': True, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 20, 'model__nb_samples': 0.7, 'model__nb_trees': 70}        -0.151253        0.015086               44
42   {'model__boot_type': True, 'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_split': 18, 'model__nb_samples': 'Full', 'model__nb_trees': 10}        -0.168922        0.014637               45
5     {'model__boot_type': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__nb_samples': 0.3, 'model__nb_trees': 200}        -0.172599        0.014487               46
2         {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 17, 'model__nb_samples': 0.2, 'model__nb_trees': 80}        -0.199613        0.016666               47
3        {'model__boot_type': False, 'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_split': 19, 'model__nb_samples': 0.2, 'model__nb_trees': 30}        -0.215760        0.016298               48
4       {'model__boot_type': True, 'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_split': 14, 'model__nb_samples': 0.3, 'model__nb_trees': 90}        -0.224456        0.020942               49
24      {'model__boot_type': False, 'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_split': 18, 'model__nb_samples': 0.1, 'model__nb_trees': 150}        -0.273239        0.014238               50


Scoring: MSE
Best score: -24.24298835635234
best params: OrderedDict([('model__boot_type', False), ('model__max_depth', -1), ('model__max_features', 'log2'), ('model__min_samples_split', 2), ('model__nb_samples', 'Full'), ('model__nb_trees', 200)])
CV results:
                                                                                                                                                                      params  mean_test_score  std_test_score  rank_test_score
