08.12.2024 19:36:13
Scoring: RSE
Best score: -0.1910813367390487
best params: OrderedDict([('model__n_neighbors', 5), ('model__p', 5), ('model__weights', 'distance')])
CV results:
                                                                     params  mean_test_score  std_test_score  rank_test_score
23   {'model__n_neighbors': 5, 'model__p': 5, 'model__weights': 'distance'}        -0.191081        0.027079                1
26   {'model__n_neighbors': 5, 'model__p': 4, 'model__weights': 'distance'}        -0.192898        0.028900                2
28   {'model__n_neighbors': 4, 'model__p': 5, 'model__weights': 'distance'}        -0.193860        0.029818                3
25   {'model__n_neighbors': 6, 'model__p': 5, 'model__weights': 'distance'}        -0.194575        0.024083                4
22   {'model__n_neighbors': 7, 'model__p': 3, 'model__weights': 'distance'}        -0.195560        0.024437                5
13   {'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'distance'}        -0.201299        0.023662                6
20   {'model__n_neighbors': 8, 'model__p': 1, 'model__weights': 'distance'}        -0.201359        0.023997                7
10   {'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'distance'}        -0.202186        0.024196                8
14   {'model__n_neighbors': 8, 'model__p': 5, 'model__weights': 'distance'}        -0.204671        0.026631                9
40  {'model__n_neighbors': 10, 'model__p': 3, 'model__weights': 'distance'}        -0.207475        0.026026               10
21  {'model__n_neighbors': 12, 'model__p': 1, 'model__weights': 'distance'}        -0.208017        0.023283               11
49   {'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}        -0.208737        0.027223               12
16  {'model__n_neighbors': 17, 'model__p': 1, 'model__weights': 'distance'}        -0.216977        0.023093               13
12  {'model__n_neighbors': 13, 'model__p': 5, 'model__weights': 'distance'}        -0.223087        0.023788               14
43  {'model__n_neighbors': 15, 'model__p': 3, 'model__weights': 'distance'}        -0.223517        0.025755               15
39  {'model__n_neighbors': 24, 'model__p': 1, 'model__weights': 'distance'}        -0.228511        0.023350               16
1   {'model__n_neighbors': 21, 'model__p': 2, 'model__weights': 'distance'}        -0.229672        0.024933               17
19  {'model__n_neighbors': 27, 'model__p': 1, 'model__weights': 'distance'}        -0.233236        0.024708               18
31    {'model__n_neighbors': 3, 'model__p': 5, 'model__weights': 'uniform'}        -0.235966        0.039046               19
48  {'model__n_neighbors': 30, 'model__p': 1, 'model__weights': 'distance'}        -0.238332        0.024742               20
35  {'model__n_neighbors': 18, 'model__p': 5, 'model__weights': 'distance'}        -0.242032        0.022699               21
18  {'model__n_neighbors': 33, 'model__p': 1, 'model__weights': 'distance'}        -0.243430        0.024997               22
7   {'model__n_neighbors': 23, 'model__p': 4, 'model__weights': 'distance'}        -0.252476        0.025510               23
34  {'model__n_neighbors': 39, 'model__p': 1, 'model__weights': 'distance'}        -0.252878        0.028246               24
30  {'model__n_neighbors': 34, 'model__p': 2, 'model__weights': 'distance'}        -0.254418        0.026740               25
37   {'model__n_neighbors': 1, 'model__p': 5, 'model__weights': 'distance'}        -0.254926        0.046804               26
36  {'model__n_neighbors': 46, 'model__p': 1, 'model__weights': 'distance'}        -0.263460        0.030546               27
41    {'model__n_neighbors': 7, 'model__p': 5, 'model__weights': 'uniform'}        -0.265145        0.030811               28
9     {'model__n_neighbors': 8, 'model__p': 2, 'model__weights': 'uniform'}        -0.265448        0.032362               29
44    {'model__n_neighbors': 4, 'model__p': 1, 'model__weights': 'uniform'}        -0.267141        0.037825               30
17  {'model__n_neighbors': 50, 'model__p': 1, 'model__weights': 'distance'}        -0.269363        0.032387               31
32  {'model__n_neighbors': 30, 'model__p': 5, 'model__weights': 'distance'}        -0.270304        0.024193               32
5   {'model__n_neighbors': 42, 'model__p': 3, 'model__weights': 'distance'}        -0.275087        0.025931               33
27  {'model__n_neighbors': 37, 'model__p': 5, 'model__weights': 'distance'}        -0.279215        0.025241               34
42  {'model__n_neighbors': 46, 'model__p': 5, 'model__weights': 'distance'}        -0.292572        0.025284               35
8    {'model__n_neighbors': 12, 'model__p': 2, 'model__weights': 'uniform'}        -0.294123        0.030371               36
29  {'model__n_neighbors': 50, 'model__p': 5, 'model__weights': 'distance'}        -0.298251        0.026255               37
11   {'model__n_neighbors': 1, 'model__p': 1, 'model__weights': 'distance'}        -0.308004        0.052610               38
15    {'model__n_neighbors': 1, 'model__p': 1, 'model__weights': 'uniform'}        -0.308004        0.052610               38
2    {'model__n_neighbors': 16, 'model__p': 4, 'model__weights': 'uniform'}        -0.328661        0.025282               40
4    {'model__n_neighbors': 16, 'model__p': 4, 'model__weights': 'uniform'}        -0.328661        0.025282               40
6    {'model__n_neighbors': 20, 'model__p': 3, 'model__weights': 'uniform'}        -0.335482        0.027182               42
38   {'model__n_neighbors': 26, 'model__p': 1, 'model__weights': 'uniform'}        -0.338353        0.025280               43
24   {'model__n_neighbors': 33, 'model__p': 1, 'model__weights': 'uniform'}        -0.351223        0.026281               44
0    {'model__n_neighbors': 21, 'model__p': 5, 'model__weights': 'uniform'}        -0.353860        0.022906               45
47   {'model__n_neighbors': 30, 'model__p': 5, 'model__weights': 'uniform'}        -0.373884        0.021399               46
3    {'model__n_neighbors': 44, 'model__p': 2, 'model__weights': 'uniform'}        -0.380338        0.029674               47
45   {'model__n_neighbors': 38, 'model__p': 5, 'model__weights': 'uniform'}        -0.385229        0.022065               48
33   {'model__n_neighbors': 50, 'model__p': 1, 'model__weights': 'uniform'}        -0.385941        0.034644               49
46   {'model__n_neighbors': 50, 'model__p': 5, 'model__weights': 'uniform'}        -0.404871        0.023688               50


Scoring: MSE
Best score: -52.408735019219854
best params: OrderedDict([('model__n_neighbors', 5), ('model__p', 5), ('model__weights', 'distance')])
CV results:
                                                                     params  mean_test_score  std_test_score  rank_test_score
27   {'model__n_neighbors': 5, 'model__p': 5, 'model__weights': 'distance'}       -52.408735        3.774080                1
28   {'model__n_neighbors': 5, 'model__p': 4, 'model__weights': 'distance'}       -52.905702        4.634845                2
34   {'model__n_neighbors': 6, 'model__p': 3, 'model__weights': 'distance'}       -52.981238        4.617973                3
24   {'model__n_neighbors': 4, 'model__p': 5, 'model__weights': 'distance'}       -53.113438        4.148787                4
18   {'model__n_neighbors': 8, 'model__p': 2, 'model__weights': 'distance'}       -53.989805        4.937226                5
40   {'model__n_neighbors': 7, 'model__p': 4, 'model__weights': 'distance'}       -54.633221        5.504692                6
23   {'model__n_neighbors': 7, 'model__p': 5, 'model__weights': 'distance'}       -54.793921        4.972462                7
20   {'model__n_neighbors': 9, 'model__p': 2, 'model__weights': 'distance'}       -55.161997        4.871788                8
19   {'model__n_neighbors': 8, 'model__p': 3, 'model__weights': 'distance'}       -55.192834        5.528952                9
21   {'model__n_neighbors': 8, 'model__p': 1, 'model__weights': 'distance'}       -55.468592        4.938149               10
10   {'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'distance'}       -55.491408        5.271765               11
14  {'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}       -56.129823        5.604489               12
12  {'model__n_neighbors': 13, 'model__p': 1, 'model__weights': 'distance'}       -57.848292        6.190449               13
30  {'model__n_neighbors': 13, 'model__p': 2, 'model__weights': 'distance'}       -57.986173        5.896405               14
13  {'model__n_neighbors': 10, 'model__p': 5, 'model__weights': 'distance'}       -58.704179        6.694379               15
1   {'model__n_neighbors': 21, 'model__p': 2, 'model__weights': 'distance'}       -63.603202        7.921733               16
41    {'model__n_neighbors': 3, 'model__p': 3, 'model__weights': 'uniform'}       -64.150394        4.343688               17
25    {'model__n_neighbors': 3, 'model__p': 5, 'model__weights': 'uniform'}       -64.514158        4.935910               18
32    {'model__n_neighbors': 2, 'model__p': 5, 'model__weights': 'uniform'}       -65.248746        6.102233               19
47  {'model__n_neighbors': 24, 'model__p': 2, 'model__weights': 'distance'}       -65.558751        8.633065               20
16  {'model__n_neighbors': 17, 'model__p': 5, 'model__weights': 'distance'}       -66.012703        7.659465               21
22  {'model__n_neighbors': 31, 'model__p': 1, 'model__weights': 'distance'}       -66.729782        9.885039               22
31  {'model__n_neighbors': 28, 'model__p': 2, 'model__weights': 'distance'}       -67.668395        9.183188               23
33    {'model__n_neighbors': 6, 'model__p': 2, 'model__weights': 'uniform'}       -67.998493        4.525046               24
7   {'model__n_neighbors': 23, 'model__p': 4, 'model__weights': 'distance'}       -70.103644        9.625907               25
39  {'model__n_neighbors': 42, 'model__p': 1, 'model__weights': 'distance'}       -71.509688       11.405240               26
