08.12.2024 19:38:33
Scoring: RSE
Best score: -0.08167004287652026
best params: OrderedDict([('model__bootstrap', False), ('model__max_depth', 30), ('model__max_features', 'log2'), ('model__min_samples_split', 2), ('model__n_estimators', 300)])
CV results:
                                                                                                                                             params  mean_test_score  std_test_score  rank_test_score
25    {'model__bootstrap': False, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 300}        -0.081670        0.011749                1
32     {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 90}        -0.082227        0.012603                2
46    {'model__bootstrap': False, 'model__max_depth': 70, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 200}        -0.082366        0.011867                3
31     {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 70}        -0.082623        0.012603                4
30     {'model__bootstrap': False, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 90}        -0.082658        0.012533                5
44     {'model__bootstrap': False, 'model__max_depth': 60, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 70}        -0.083142        0.012749                6
26     {'model__bootstrap': False, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 70}        -0.083142        0.012749                6
33     {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 60}        -0.083167        0.012595                8
24     {'model__bootstrap': False, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 50}        -0.083490        0.013197                9
18     {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 4, 'model__n_estimators': 70}        -0.084895        0.012660               10
27     {'model__bootstrap': False, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 30}        -0.084975        0.014406               11
48   {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 20}        -0.086037        0.013359               12
47    {'model__bootstrap': False, 'model__max_depth': 80, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 200}        -0.086692        0.012953               13
21     {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 70}        -0.088701        0.014161               14
20     {'model__bootstrap': False, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 7, 'model__n_estimators': 70}        -0.089429        0.012790               15
19     {'model__bootstrap': False, 'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 70}        -0.090343        0.013975               16
23     {'model__bootstrap': False, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 10}        -0.091289        0.015742               17
10       {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': None, 'model__min_samples_split': 2, 'model__n_estimators': 100}        -0.095368        0.012824               18
29    {'model__bootstrap': False, 'model__max_depth': 70, 'model__max_features': 'log2', 'model__min_samples_split': 10, 'model__n_estimators': 90}        -0.095519        0.011439               19
45    {'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_split': 4, 'model__n_estimators': 80}        -0.096906        0.012252               20
17    {'model__bootstrap': False, 'model__max_depth': 40, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__n_estimators': 40}        -0.099318        0.013222               21
5     {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__n_estimators': 40}        -0.099318        0.013222               21
13    {'model__bootstrap': False, 'model__max_depth': 70, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__n_estimators': 40}        -0.099318        0.013222               21
15   {'model__bootstrap': False, 'model__max_depth': 100, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__n_estimators': 40}        -0.099318        0.013222               21
16  {'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__n_estimators': 40}        -0.099318        0.013222               21
37     {'model__bootstrap': False, 'model__max_depth': 40, 'model__max_features': 'sqrt', 'model__min_samples_split': 7, 'model__n_estimators': 70}        -0.100477        0.014434               26
38      {'model__bootstrap': True, 'model__max_depth': 70, 'model__max_features': 'log2', 'model__min_samples_split': 5, 'model__n_estimators': 40}        -0.102359        0.013696               27
39      {'model__bootstrap': True, 'model__max_depth': 80, 'model__max_features': 'log2', 'model__min_samples_split': 5, 'model__n_estimators': 50}        -0.103174        0.013870               28
6      {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 3, 'model__n_estimators': 200}        -0.103449        0.015337               29
11        {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': None, 'model__min_samples_split': 2, 'model__n_estimators': 10}        -0.107775        0.015383               30
49      {'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__n_estimators': 10}        -0.110567        0.014227               31
36     {'model__bootstrap': False, 'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_split': 5, 'model__n_estimators': 10}        -0.110727        0.017620               32
7       {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': 'log2', 'model__min_samples_split': 9, 'model__n_estimators': 90}        -0.112925        0.015064               33
35    {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 19, 'model__n_estimators': 70}        -0.114881        0.014142               34
40     {'model__bootstrap': True, 'model__max_depth': 80, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__n_estimators': 30}        -0.120538        0.012166               35
8       {'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 16, 'model__n_estimators': 150}        -0.125625        0.015675               36
0       {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': None, 'model__min_samples_split': 17, 'model__n_estimators': 100}        -0.128523        0.015662               37
2        {'model__bootstrap': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 17, 'model__n_estimators': 20}        -0.135224        0.018352               38
9       {'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 20, 'model__n_estimators': 100}        -0.135469        0.016427               39
22    {'model__bootstrap': False, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_split': 19, 'model__n_estimators': 70}        -0.138281        0.015499               40
