23.02.2025 00:25:02
History:
                                                model   cv_score                                         model_info
14  RandomForestRegressor(input_matrix, RandomFore...  -5.185263  {'generation': 0, 'mutation_count': 0, 'crosso...
22  RandomForestRegressor(input_matrix, RandomFore...  -5.248444  {'generation': 0, 'mutation_count': 0, 'crosso...
21  RandomForestRegressor(input_matrix, RandomFore...  -5.296687  {'generation': 0, 'mutation_count': 0, 'crosso...
0   KNeighborsRegressor(input_matrix, KNeighborsRe...  -8.807384  {'generation': 0, 'mutation_count': 0, 'crosso...
6   KNeighborsRegressor(input_matrix, KNeighborsRe...  -9.190620  {'generation': 0, 'mutation_count': 0, 'crosso...
15  KNeighborsRegressor(input_matrix, KNeighborsRe...  -9.365998  {'generation': 0, 'mutation_count': 0, 'crosso...
7   KNeighborsRegressor(input_matrix, KNeighborsRe...  -9.771351  {'generation': 0, 'mutation_count': 0, 'crosso...
11  KNeighborsRegressor(input_matrix, KNeighborsRe... -10.346237  {'generation': 0, 'mutation_count': 0, 'crosso...
20  Ridge(input_matrix, Ridge__alpha=1000, Ridge__... -10.470470  {'generation': 0, 'mutation_count': 0, 'crosso...
19  Lasso(input_matrix, Lasso__alpha=0.01, Lasso__... -10.472707  {'generation': 0, 'mutation_count': 0, 'crosso...
23  Ridge(input_matrix, Ridge__alpha=1, Ridge__fit... -10.472709  {'generation': 0, 'mutation_count': 0, 'crosso...
2   Ridge(input_matrix, Ridge__alpha=0.1, Ridge__f... -10.472712  {'generation': 0, 'mutation_count': 0, 'crosso...
9   Lasso(input_matrix, Lasso__alpha=1, Lasso__fit... -10.474395  {'generation': 0, 'mutation_count': 0, 'crosso...
12  Ridge(input_matrix, Ridge__alpha=10, Ridge__fi... -10.485742  {'generation': 0, 'mutation_count': 0, 'crosso...
10  Ridge(input_matrix, Ridge__alpha=1, Ridge__fit... -10.485771  {'generation': 0, 'mutation_count': 0, 'crosso...
8   Ridge(input_matrix, Ridge__alpha=0.1, Ridge__f... -10.485774  {'generation': 0, 'mutation_count': 0, 'crosso...
17  Ridge(input_matrix, Ridge__alpha=0.001, Ridge_... -10.485775  {'generation': 0, 'mutation_count': 0, 'crosso...
5   Lasso(input_matrix, Lasso__alpha=1, Lasso__fit... -10.488496  {'generation': 0, 'mutation_count': 0, 'crosso...
13  LinearSVR(input_matrix, LinearSVR__C=0.001, Li... -10.933321  {'generation': 0, 'mutation_count': 0, 'crosso...
4   LinearSVR(input_matrix, LinearSVR__C=0.01, Lin... -11.044238  {'generation': 0, 'mutation_count': 0, 'crosso...
3   LinearSVR(input_matrix, LinearSVR__C=1, Linear... -12.645931  {'generation': 0, 'mutation_count': 0, 'crosso...
16  LinearSVR(input_matrix, LinearSVR__C=0.1, Line... -13.418619  {'generation': 0, 'mutation_count': 0, 'crosso...
1   LinearSVR(input_matrix, LinearSVR__C=10, Linea... -13.427182  {'generation': 0, 'mutation_count': 0, 'crosso...
18  Lasso(input_matrix, Lasso__alpha=1000, Lasso__... -16.697179  {'generation': 0, 'mutation_count': 0, 'crosso...


