Model,rf_n_estimators,rf_max_depth,rf_max_features,LinearSVR_max_iter,LinearSVR_C,LinearSVR_fit_intercept,Ridge_alpha,Ridge_fit_intercept,Lasso_alpha,Lasso_fit_intercept,KNN_n_neighbors,KNN_p,Metric,Best Metric
rf,100,50,log2,,,,,,,,,,4.940138745442798,4.940138745442798
rf,10,50,log2,,,,,,,,,,5.35576268665782,4.940138745442798
KNN,,,,,,,,,,,10,5,9.868832617727104,4.940138745442798
rf,10,50,,,,,,,,,,,5.259051201262347,4.940138745442798
Ridge,,,,,,,1,True,,,,,10.485668425432038,4.940138745442798
KNN,,,,,,,,,,,10,5,9.858340201655185,4.940138745442798
rf,30,50,,,,,,,,,,,4.985596464133334,4.940138745442798
Lasso,,,,,,,,,10,True,,,10.516198097271818,4.940138745442798
rf,10,50,,,,,,,,,,,5.2484192724549175,4.940138745442798
rf,10,50,,,,,,,,,,,5.269371463668992,4.940138745442798
