23.02.2025 00:47:02
History:
                                                                                                                                                          model  ...                                                                                                                                             model_info
22  RandomForestRegressor(input_matrix, RandomForestRegressor__max_depth=200, RandomForestRegressor__max_features=sqrt, RandomForestRegressor__n_estimators=90)  ...  {'generation': 0, 'mutation_count': 0, 'crossover_count': 0, 'predecessor': ('ROOT',), 'operator_count': 1, 'internal_cv_score': -0.5733864909107796}
21   RandomForestRegressor(input_matrix, RandomForestRegressor__max_depth=30, RandomForestRegressor__max_features=sqrt, RandomForestRegressor__n_estimators=40)  ...  {'generation': 0, 'mutation_count': 0, 'crossover_count': 0, 'predecessor': ('ROOT',), 'operator_count': 1, 'internal_cv_score': -0.5782702143030184}
14   RandomForestRegressor(input_matrix, RandomForestRegressor__max_depth=10, RandomForestRegressor__max_features=log2, RandomForestRegressor__n_estimators=90)  ...   {'generation': 0, 'mutation_count': 0, 'crossover_count': 0, 'predecessor': ('ROOT',), 'operator_count': 1, 'internal_cv_score': -0.589582514808005}
8                                                                                              Ridge(input_matrix, Ridge__alpha=0.1, Ridge__fit_intercept=True)  ...   {'generation': 0, 'mutation_count': 0, 'crossover_count': 0, 'predecessor': ('ROOT',), 'operator_count': 1, 'internal_cv_score': -0.651624968789381}
17                                                                                           Ridge(input_matrix, Ridge__alpha=0.001, Ridge__fit_intercept=True)  ...  {'generation': 0, 'mutation_count': 0, 'crossover_count': 0, 'predecessor': ('ROOT',), 'operator_count': 1, 'internal_cv_score': -0.6517153758415409}
2                                                                                             Ridge(input_matrix, Ridge__alpha=0.1, Ridge__fit_intercept=False)  ...  {'generation': 0, 'mutation_count': 0, 'crossover_count': 0, 'predecessor': ('ROOT',), 'operator_count': 1, 'internal_cv_score': -0.6517504269635629}
10                                                                                               Ridge(input_matrix, Ridge__alpha=1, Ridge__fit_intercept=True)  ...  {'generation': 0, 'mutation_count': 0, 'crossover_count': 0, 'predecessor': ('ROOT',), 'operator_count': 1, 'internal_cv_score': -0.6519131469217679}
23                                                                                              Ridge(input_matrix, Ridge__alpha=1, Ridge__fit_intercept=False)  ...  {'generation': 0, 'mutation_count': 0, 'crossover_count': 0, 'predecessor': ('ROOT',), 'operator_count': 1, 'internal_cv_score': -0.6546243784605333}
12                                                                                              Ridge(input_matrix, Ridge__alpha=10, Ridge__fit_intercept=True)  ...  {'generation': 0, 'mutation_count': 0, 'crossover_count': 0, 'predecessor': ('ROOT',), 'operator_count': 1, 'internal_cv_score': -0.6559379095071515}
19                                                                                           Lasso(input_matrix, Lasso__alpha=0.01, Lasso__fit_intercept=False)  ...  {'generation': 0, 'mutation_count': 0, 'crossover_count': 0, 'predecessor': ('ROOT',), 'operator_count': 1, 'internal_cv_score': -0.6682768275795261}
