16.11.2022 20:28:04
    fit_intercept       alpha  accuracy    recall
0            True    0.000000  0.770601  0.555765
1            True    2.040816  0.770472  0.555024
2            True    4.081633  0.770472  0.554654
3            True    6.122449  0.770602  0.554647
4            True    8.163265  0.770471  0.553899
5            True   10.204082  0.770601  0.553522
6            True   12.244898  0.770600  0.553145
7            True   14.285714  0.770469  0.552390
8            True   16.326531  0.770340  0.551642
9            True   18.367347  0.770469  0.550894
10           True   20.408163  0.770208  0.550147
11           True   22.448980  0.770208  0.550147
12           True   24.489796  0.770338  0.550147
13           True   26.530612  0.770208  0.549776
14           True   28.571429  0.770339  0.548281
15           True   30.612245  0.769948  0.547163
16           True   32.653061  0.770210  0.546792
17           True   34.693878  0.770078  0.546038
18           True   36.734694  0.770207  0.545660
19           True   38.775510  0.770076  0.544913
20           True   40.816327  0.769817  0.544172
21           True   42.857143  0.769425  0.543047
22           True   44.897959  0.769817  0.543047
23           True   46.938776  0.769687  0.542299
24           True   48.979592  0.769295  0.540797
25           True   51.020408  0.769295  0.540797
26           True   53.061224  0.769165  0.540426
27           True   55.102041  0.769033  0.539672
28           True   57.142857  0.768772  0.539294
29           True   59.183673  0.768771  0.539287
30           True   61.224490  0.768771  0.538917
31           True   63.265306  0.769031  0.538917
32           True   65.306122  0.768770  0.538169
33           True   67.346939  0.768901  0.537799
34           True   69.387755  0.768771  0.537428
35           True   71.428571  0.768772  0.537058
36           True   73.469388  0.768902  0.536303
37           True   75.510204  0.768772  0.535933
38           True   77.551020  0.768380  0.534437
39           True   79.591837  0.768119  0.533683
40           True   81.632653  0.768120  0.533312
41           True   83.673469  0.767859  0.532942
42           True   85.714286  0.767600  0.532201
43           True   87.755102  0.767470  0.531461
44           True   89.795918  0.767729  0.531461
45           True   91.836735  0.767860  0.531090
46           True   93.877551  0.767731  0.530349
47           True   95.918367  0.767471  0.529602
48           True   97.959184  0.767471  0.529602
49           True  100.000000  0.767600  0.529602
50          False    0.000000  0.737654  0.793054
51          False    2.040816  0.737392  0.793047
52          False    4.081633  0.737393  0.793424
53          False    6.122449  0.737523  0.793795
54          False    8.163265  0.737522  0.793788
55          False   10.204082  0.737913  0.794165
56          False   12.244898  0.737782  0.793795
57          False   14.285714  0.737651  0.793795
58          False   16.326531  0.737783  0.794920
59          False   18.367347  0.737261  0.794172
60          False   20.408163  0.737521  0.794172
61          False   22.448980  0.737781  0.794172
62          False   24.489796  0.737782  0.794179
63          False   26.530612  0.737262  0.793809
64          False   28.571429  0.737001  0.794549
65          False   30.612245  0.737001  0.794549
66          False   32.653061  0.737263  0.794934
67          False   34.693878  0.737133  0.794941
68          False   36.734694  0.737392  0.794941
69          False   38.775510  0.737392  0.794941
70          False   40.816327  0.737392  0.795311
71          False   42.857143  0.737521  0.795311
72          False   44.897959  0.737130  0.794934
73          False   46.938776  0.737000  0.794934
74          False   48.979592  0.737001  0.794934
75          False   51.020408  0.736870  0.794927
76          False   53.061224  0.736999  0.794927
77          False   55.102041  0.736870  0.795297
78          False   57.142857  0.736740  0.794927
79          False   59.183673  0.736348  0.794549
80          False   61.224490  0.736218  0.794549
81          False   63.265306  0.735957  0.794549
82          False   65.306122  0.735697  0.794549
83          False   67.346939  0.735696  0.794172
84          False   69.387755  0.735436  0.793795
85          False   71.428571  0.735567  0.793795
86          False   73.469388  0.735827  0.793424
87          False   75.510204  0.735436  0.793047
88          False   77.551020  0.735435  0.793047
89          False   79.591837  0.735565  0.793417
90          False   81.632653  0.735305  0.793047
91          False   83.673469  0.735045  0.792299
92          False   85.714286  0.735174  0.792292
93          False   87.755102  0.735174  0.792292
94          False   89.795918  0.734914  0.792292
95          False   91.836735  0.734394  0.791174
96          False   93.877551  0.734914  0.791551
97          False   95.918367  0.734784  0.791551
98          False   97.959184  0.734523  0.791551
99          False  100.000000  0.734652  0.791174
